shots,errors,distance,p,rounds
1000000,1019,3,0.001,6
1000000,2376,3,0.002,6
1000000,7863,3,0.005,6
1000000,20467,3,0.01,6
1000000,57190,3,0.02,6
1000000,103347,3,0.03,6
1000000,153252,3,0.04,6
1000000,206191,3,0.05,6
1000000,31,5,0.001,10
1000000,180,5,0.002,10
1000000,1408,5,0.005,10
1000000,8720,5,0.01,10
1000000,50785,5,0.02,10
1000000,130201,5,0.03,10
1000000,227930,5,0.04,10
1000000,317873,5,0.05,10
1000000,5,7,0.001,14
1000000,36,7,0.002,14
1000000,517,7,0.005,14
1000000,4942,7,0.01,14
1000000,51417,7,0.02,14
1000000,168696,7,0.03,14
1000000,310614,7,0.04,14
1000000,416352,7,0.05,14
1000000,4,9,0.001,18
1000000,22,9,0.002,18
1000000,277,9,0.005,18
1000000,3457,9,0.01,18
1000000,57004,9,0.02,18
1000000,219160,9,0.03,18
1000000,390723,9,0.04,18
1000000,474038,9,0.05,18
1000000,2,11,0.001,22
1000000,10,11,0.002,22
1000000,165,11,0.005,22
1000000,2845,11,0.01,22
1000000,66789,11,0.02,22
1000000,277444,11,0.03,22
1000000,449906,11,0.04,22
1000000,495489,11,0.05,22
1000000,2,13,0.001,26
1000000,6,13,0.002,26
1000000,133,13,0.005,26
1000000,2567,13,0.01,26
1000000,79884,13,0.02,26
1000000,337232,13,0.03,26
1000000,482842,13,0.04,26
1000000,499226,13,0.05,26
