shots,errors,distance,p,rounds
1000000,1679,3,0.0005,6
1000000,3978,3,0.001,6
1000000,10660,3,0.002,6
1000000,43037,3,0.005,6
1000000,121265,3,0.01,6
1000000,286934,3,0.02,6
1000000,399687,3,0.03,6
1000000,457941,3,0.04,6
1000000,483667,3,0.05,6
1000000,68,5,0.0005,10
1000000,408,5,0.001,10
1000000,2710,5,0.002,10
1000000,32555,5,0.005,10
1000000,166457,5,0.01,10
1000000,430312,5,0.02,10
1000000,493692,5,0.03,10
1000000,499695,5,0.04,10
1000000,499787,5,0.05,10
1000000,3,7,0.0005,14
1000000,53,7,0.001,14
1000000,765,7,0.002,14
1000000,24220,7,0.005,14
1000000,210160,7,0.01,14
1000000,486973,7,0.02,14
1000000,500744,7,0.03,14
1000000,499997,7,0.04,14
1000000,499341,7,0.05,14
1000000,1,9,0.0005,18
1000000,3,9,0.001,18
1000000,208,9,0.002,18
1000000,17266,9,0.005,18
1000000,251428,9,0.01,18
1000000,498633,9,0.02,18
1000000,499948,9,0.03,18
1000000,499912,9,0.04,18
1000000,499971,9,0.05,18
1000000,57,11,0.002,22
1000000,12103,11,0.005,22
1000000,291659,11,0.01,22
1000000,500551,11,0.02,22
1000000,500190,11,0.03,22
1000000,500017,11,0.04,22
1000000,500191,11,0.05,22
1000000,13,13,0.002,26
1000000,8320,13,0.005,26
1000000,328719,13,0.01,26
1000000,500650,13,0.02,26
1000000,500696,13,0.03,26
1000000,500039,13,0.04,26
1000000,500876,13,0.05,26
