shots,errors,distance,rounds,p
10000000,55574,3,6,0.001
10000000,127687,3,6,0.002
10000000,415560,3,6,0.005
10000000,18382,5,10,0.001
10000000,85601,5,10,0.002
10000000,636287,5,10,0.005
10000000,10657,7,14,0.001
10000000,78861,7,14,0.002
10000000,1001301,7,14,0.005
10000000,8098,9,18,0.001
10000000,81995,9,18,0.002
10000000,1506102,9,18,0.005
10000000,7096,11,22,0.001
10000000,91126,11,22,0.002
10000000,2131849,11,22,0.005
10000000,6443,13,26,0.001
10000000,104342,13,26,0.002
10000000,2822319,13,26,0.005
