shots,errors,distance,rounds,p
10000000,4852,3,6,0.0001
10000000,9802,3,6,0.0002
10000000,25986,3,6,0.0005
10000000,242,5,10,0.0001
10000000,734,5,10,0.0002
10000000,4251,5,10,0.0005
10000000,54,7,14,0.0001
10000000,182,7,14,0.0002
10000000,1690,7,14,0.0005
10000000,15,9,18,0.0001
10000000,87,9,18,0.0002
10000000,951,9,18,0.0005
10000000,9,11,22,0.0001
10000000,84,11,22,0.0002
10000000,749,11,22,0.0005
10000000,7,13,26,0.0001
10000000,48,13,26,0.0002
10000000,613,13,26,0.0005
