shots,errors,distance,rounds,p
10000000,108585,3,6,0.002
10000000,35624,5,10,0.002
10000000,15769,7,14,0.002
10000000,8624,9,18,0.002
10000000,6052,11,22,0.002
10000000,4706,13,26,0.002
10000000,3766,15,30,0.002
