shots,errors,distance,rounds,p
10000000,110138,3,6,0.002
10000000,35600,5,10,0.002
10000000,12802,7,14,0.002
10000000,4487,9,18,0.002
10000000,1566,11,22,0.002
10000000,568,13,26,0.002
10000000,184,15,30,0.002
