shots,errors,distance,rounds,p
10000000,110657,3,6,0.002
10000000,34748,5,10,0.002
10000000,11451,7,14,0.002
10000000,3453,9,18,0.002
10000000,1025,11,22,0.002
10000000,299,13,26,0.002
10000000,82,15,30,0.002
