shots,errors,distance,rounds,p
1000000,19285,3,6,0.002
1000000,8823,5,10,0.002
1000000,4326,7,14,0.002
1000000,1935,9,18,0.002
1000000,929,11,22,0.002
1000000,412,13,26,0.002
1000000,176,15,30,0.002
