shots,errors,distance,rounds,p
1000000,18907,3,6,0.002
1000000,8182,5,10,0.002
1000000,3841,7,14,0.002
1000000,1746,9,18,0.002
1000000,772,11,22,0.002
1000000,307,13,26,0.002
1000000,137,15,30,0.002
