shots,errors,distance,rounds,p
10000000,105814,3,6,0.002
10000000,33522,5,10,0.002
10000000,12460,7,14,0.002
10000000,4603,9,18,0.002
10000000,1628,11,22,0.002
10000000,578,13,26,0.002
10000000,190,15,30,0.002
