shots,errors,distance,rounds,p
1000000,13994,3,6,0.002
1000000,5579,5,10,0.002
1000000,2803,7,14,0.002
1000000,1414,9,18,0.002
1000000,670,11,22,0.002
1000000,304,13,26,0.002
1000000,168,15,30,0.002
