shots,errors,distance,rounds,p
1000000,14588,3,6,0.002
1000000,5239,5,10,0.002
1000000,1980,7,14,0.002
1000000,744,9,18,0.002
1000000,255,11,22,0.002
1000000,90,13,26,0.002
1000000,39,15,30,0.002
