shots,errors,distance,rounds,p
10000000,102447,3,6,0.002
10000000,27734,5,10,0.002
10000000,8053,7,14,0.002
10000000,2264,9,18,0.002
10000000,678,11,22,0.002
10000000,192,13,26,0.002
10000000,51,15,30,0.002
