shots,errors,distance,rounds,p
10000000,97219,3,6,0.002
10000000,23241,5,10,0.002
10000000,5847,7,14,0.002
10000000,1430,9,18,0.002
10000000,331,11,22,0.002
10000000,63,13,26,0.002
10000000,25,15,30,0.002
