shots,errors,distance,rounds,p
10000000,105052,3,6,0.002
10000000,28471,5,10,0.002
10000000,8401,7,14,0.002
10000000,2205,9,18,0.002
10000000,583,11,22,0.002
10000000,159,13,26,0.002
10000000,42,15,30,0.002
