shots,errors,distance,rounds,p
10000000,4852,3,6,0.0001
10000000,9802,3,6,0.0002
10000000,25986,3,6,0.0005
10000000,242,5,10,0.0001
10000000,734,5,10,0.0002
10000000,4251,5,10,0.0005
10000000,54,7,14,0.0001
10000000,182,7,14,0.0002
10000000,1690,7,14,0.0005
10000000,15,9,18,0.0001
10000000,87,9,18,0.0002
10000000,951,9,18,0.0005
10000000,9,11,22,0.0001
10000000,84,11,22,0.0002
10000000,749,11,22,0.0005
10000000,7,13,26,0.0001
10000000,48,13,26,0.0002
10000000,613,13,26,0.0005
10000000,55574,3,6,0.001
10000000,127687,3,6,0.002
10000000,415560,3,6,0.005
10000000,18382,5,10,0.001
10000000,85601,5,10,0.002
10000000,636287,5,10,0.005
10000000,10657,7,14,0.001
10000000,78861,7,14,0.002
10000000,1001301,7,14,0.005
10000000,8098,9,18,0.001
10000000,81995,9,18,0.002
10000000,1506102,9,18,0.005
10000000,7096,11,22,0.001
10000000,91126,11,22,0.002
10000000,2131849,11,22,0.005
10000000,6443,13,26,0.001
10000000,104342,13,26,0.002
10000000,2822319,13,26,0.005
10000000,1034835,3,6,0.01
10000000,2241867,5,10,0.01
10000000,3611489,7,14,0.01
10000000,4549830,9,18,0.01
10000000,4914507,11,22,0.01
10000000,4988395,13,26,0.01
10000000,5000040,15,30,0.01
10000000,2351445,3,6,0.02
10000000,4438411,5,10,0.02
10000000,4971274,7,14,0.02
10000000,5002215,9,18,0.02
10000000,5001856,11,22,0.02
10000000,5002087,13,26,0.02
10000000,4998701,15,30,0.02
10000000,3372869,3,6,0.03
10000000,4928551,5,10,0.03
10000000,4998300,7,14,0.03
10000000,4998143,9,18,0.03
10000000,4998867,11,22,0.03
10000000,5001391,13,26,0.03
10000000,4998744,15,30,0.03
