     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
  10000000,250,0,2.96,pymatching,a9352f6b1f178022891517038897eddc40c0d03c8c2b1ff2e7b4ebb6802a7821,"{""d"":3,""p"":0.0001,""r"":6}",
  10000000,6266,0,3.72,pymatching,f4fb680fe8543cb4a35214d235f5aab7ad348bbcb72b7d208fa421167120016d,"{""d"":3,""p"":0.0005,""r"":6}",
  10000000,1778,0,19.6,pymatching,e6f644590cd46c71d8a6bf018f9f85afc926085cc298fc556d176baa3296634e,"{""d"":5,""p"":0.0005,""r"":10}",
  10000000,116,0,14.3,pymatching,54226c4fab0ea8e182a4f38bf374df07ab4ee585b6210b1722db9ee95f5e545e,"{""d"":5,""p"":0.0002,""r"":10}",
  10000000,998,0,3.14,pymatching,0d86e9cfaba9d25e762450c35ebdb7f72de31cf5e630130af2bd26652f722f6b,"{""d"":3,""p"":0.0002,""r"":6}",
  10000000,370,0,61.9,pymatching,980883d54fc25b97d922496cb4dba440e7490928c6f9756257476f5c4c80c35a,"{""d"":7,""p"":0.0005,""r"":14}",
  10000000,11,0,41.6,pymatching,7aa23df5b6f0b94bb8605443824ac706476a570a70b8c878a0864f3e534a7d76,"{""d"":7,""p"":0.0002,""r"":14}",
  10000000,0,0,35.6,pymatching,73ebec4a692d52928db21b98dbbf608b2b1f9e7e286e09e4f914245f7e2f63b6,"{""d"":7,""p"":0.0001,""r"":14}",
  10000000,24,0,12.8,pymatching,d0fdbb63b6008091e8d894290e2cf3894210cd6caa269afe3f95b9378974ed73,"{""d"":5,""p"":0.0001,""r"":10}",
  10000000,0,0,80.4,pymatching,80c04dc7ecfbf078b9af0ac24eb369c3dbdda48671724c13e070dbd9646c7ed9,"{""d"":9,""p"":0.0001,""r"":18}",
  10000000,0,0,96.9,pymatching,d79af4f4e2d4fbd310c55550ca280278fb0ac8583063d9fe33bdf4e116d6d860,"{""d"":9,""p"":0.0002,""r"":18}",
  10000000,62,0,149.8,pymatching,88ac8b3cd3d031b4086bad2bb4caf2f319c0a147a6455ae1f1b35de9789191e7,"{""d"":9,""p"":0.0005,""r"":18}",
  10000000,0,0,158.0,pymatching,8c50d7085423368f5edd0a739b243eee63e26b353d90595082eded63bd4739f0,"{""d"":11,""p"":0.0001,""r"":22}",
  10000000,0,0,201.1,pymatching,fb0febe81056ae1b65557d794616b098bcba76dc0d93b3423659de91bb59422e,"{""d"":11,""p"":0.0002,""r"":22}",
  10000000,8,0,341.8,pymatching,2cd9ba6b7ef109d32e0cb72922581441615765199a83b37b9843d67b523149a5,"{""d"":11,""p"":0.0005,""r"":22}",
  10000000,0,0,304.6,pymatching,2305b734cd58d1b8eba5fc641e16f8f861d4ccf9e49d67654f71a7f439dbaf38,"{""d"":13,""p"":0.0001,""r"":26}",
  10000000,0,0,339.5,pymatching,e2d62a875487ecc75f92bfd4724422c05d5225d6934ad06909d32f863e545379,"{""d"":13,""p"":0.0002,""r"":26}",
  10000000,2,0,444.9,pymatching,6fa18d192734a0507461a309b45fe090cc1f0e387a7bc2b5e633cd85f52ac1d6,"{""d"":13,""p"":0.0005,""r"":26}",
  10000000,24770,0,4.49,pymatching,0cc6f0f3625c2120ca0a090b661be6015d01c398f5718eb8ae405edba7dddc0a,"{""d"":3,""p"":0.001,""r"":6}",
  10000000,500723,0,13.2,pymatching,4c3f43f9f8016c432af5d386056c4f47cb550cc2751062e6ccd873346f8077d6,"{""d"":3,""p"":0.005,""r"":6}",
  10000000,93776,0,6.47,pymatching,e9b1639db44f763d7771aaad0ad070e88dc46201f246c7f436c1396842eb5ba7,"{""d"":3,""p"":0.002,""r"":6}",
  10000000,13383,0,28.8,pymatching,d249a9a8f884e79cabba39f8ae5f3b84967cea7bb2f72d3d48c3c25f750f280a,"{""d"":5,""p"":0.001,""r"":10}",
  10000000,98196,0,51.2,pymatching,9e298ac44db9f881e2222425d6208fa2ea182fc60717ad07448c92dfc9605350,"{""d"":5,""p"":0.002,""r"":10}",
  10000000,1046420,0,148.1,pymatching,31299823364e2cd32f87388bf08a4b54a8f779ea75da58f70888bdeee48cc9f3,"{""d"":5,""p"":0.005,""r"":10}",
  10000000,5681,0,99.6,pymatching,ad5033c8db643aa866f1167902faede062fdee622538eac96f7ff7555947c0fb,"{""d"":7,""p"":0.001,""r"":14}",
  10000000,81406,0,205.6,pymatching,e843599cb6995b8421d6c67c37ef7b386710ee7f46fdfcd25514b6b8ae2c2f80,"{""d"":7,""p"":0.002,""r"":14}",
  10000000,1651944,0,631.9,pymatching,4b22e61b73c65821deadc4e392fd10b1363286c4c0822df3a7f8546d65853e0d,"{""d"":7,""p"":0.005,""r"":14}",
  10000000,2105,0,254.4,pymatching,84db5e428f89d9807718b7125985dac3746a7d7cdce25b1f29730c5dc727b834,"{""d"":9,""p"":0.001,""r"":18}",
  10000000,62972,0,552.2,pymatching,d057dc9d11b7a614fb1a3199ba0aeaf1e411101841541d7fd45eacfd2a8c7d23,"{""d"":9,""p"":0.002,""r"":18}",
  10000000,2354704,0,2013.1,pymatching,29bea5733f1bb520d1ea826e9ce624a179790de95a423f6bf564e57c6762ca07,"{""d"":9,""p"":0.005,""r"":18}",
  10000000,758,0,522.5,pymatching,e1ec972929639e697f4fc9890be81765975dcf19564181dc56c2b1d5d65acfb0,"{""d"":11,""p"":0.001,""r"":22}",
  10000000,47768,0,1212.0,pymatching,34406c6071f953f1b8180130edf942d31d54f987ebd6d3d5c995cd0e97df322c,"{""d"":11,""p"":0.002,""r"":22}",
  10000000,3101178,0,4856.6,pymatching,ef713c31b422cf72df8407974a968bd9efbbe2f4172b602cb31b928353ae5ef6,"{""d"":11,""p"":0.005,""r"":22}",
  10000000,269,0,1022.1,pymatching,17da84a05552a8223c6b48d8033f1df2d1d61a817a5b0960eedc5046df810250,"{""d"":13,""p"":0.001,""r"":26}",
  10000000,36217,0,2356.7,pymatching,948b367ce817d7fe991f6dec11171d2a790ea51b88ac0e084b1f1c2002aa30ff,"{""d"":13,""p"":0.002,""r"":26}",
  10000000,3806549,0,10147.4,pymatching,38c1016e7f5bf35549493e7fac1496e096520e4a15ac7b4f26a1b6f21b0a1469,"{""d"":13,""p"":0.005,""r"":26}",
  10000000,1511441,0,25.2,pymatching,01f1570a7d4d85237154e33e2350e741e9b9c1b1102985ac2b4a493506bf73a4,"{""d"":3,""p"":0.01,""r"":6}",
  10000000,3485076,0,322.3,pymatching,8838374907148125c0f44e592d14a06ec7a11b030aa48c02130c9c9aa112157e,"{""d"":5,""p"":0.01,""r"":10}",
  10000000,4670167,0,1407.1,pymatching,012762fc05c59b33f6f0ce806c85d3151feb1b4c9c4957ec9dcba14f53e58c6c,"{""d"":7,""p"":0.01,""r"":14}",
  10000000,4971545,0,4086.8,pymatching,56d2546ed0f7970eb519e0a5155a3b0c4a3a6c3914d23e5ac782d9d2f61206a3,"{""d"":9,""p"":0.01,""r"":18}",
  10000000,5002251,0,9772.1,pymatching,ec8117ace02a16a8f3469cd242faba5632bbfd247af29c99bed17f9b3b9c0ff8,"{""d"":11,""p"":0.01,""r"":22}",
  10000000,5004113,0,21037.4,pymatching,f7241e0104bd9fbd2c9461aa362f00774be42b1c257c72f4906b546d377b6e6f,"{""d"":13,""p"":0.01,""r"":26}",
