shots,errors,distance,rounds,p
10000000,106401,3,6,0.002
10000000,28962,5,10,0.002
10000000,8629,7,14,0.002
10000000,2500,9,18,0.002
10000000,639,11,22,0.002
10000000,200,13,26,0.002
10000000,73,15,30,0.002
