     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
   1000000,396314,0,6.55,pymatching,2d3ac61a6a1d4e4f0201d5aaddc84a476cd93ad2df2d65c3a7b837da203c4d09,"{""d"":3,""p"":0.03,""r"":6}",
   1000000,1453,0,0.430,pymatching,fb094657756545c3a4bf97abc8a2608145c0e05469d36dfcc64e73a9b5b06e7b,"{""d"":3,""p"":0.001,""r"":6}",
   1000000,5698,0,0.594,pymatching,0b7c766f15b40398b3e598bbaa2501299f9aefc040b1ff01821f624fecbe3e1a,"{""d"":3,""p"":0.002,""r"":6}",
   1000000,107752,0,2.26,pymatching,8a00949e9d6678ff8fba5dfbbb20fda6055d5ef9f144e5d903e1a74afc91bb0c,"{""d"":3,""p"":0.01,""r"":6}",
   1000000,30,0,1.38,pymatching,67e3a2b6ae0ade2da52e1a63b266fabe1f3b35a54a9dc7a427bce92bd9d59251,"{""d"":5,""p"":0.0005,""r"":10}",
   1000000,490570,0,9.62,pymatching,18cb9efcedc2922c4c8cbcc7a6417e216072f91e142f7285f0b6d54315941785,"{""d"":3,""p"":0.05,""r"":6}",
   1000000,464969,0,8.02,pymatching,3358f810fdc057e372d61c3bfd49328d3875b339ef937a1b161479d38f959a11,"{""d"":3,""p"":0.04,""r"":6}",
   1000000,370,0,0.348,pymatching,4edba560c3077c4788dd2deca209aa1d1ab20402a9dec6ecd8d47b6111fb3928,"{""d"":3,""p"":0.0005,""r"":6}",
   1000000,2171,0,3.65,pymatching,eb7db1d9baa144fd769eacc3cc3591bd67c1b4fd806642f2405d50e341bfe0ce,"{""d"":5,""p"":0.002,""r"":10}",
   1000000,32538,0,1.17,pymatching,75211feb359313ef5380cc26eece0e7637734bf5b6423e5f225d2ec0aa25a0b2,"{""d"":3,""p"":0.005,""r"":6}",
   1000000,279810,0,4.46,pymatching,6655d67be5938b85d3cbfedce9054b1aa3f0a581f377330a51d36001f1ee9ef0,"{""d"":3,""p"":0.02,""r"":6}",
   1000000,273,0,2.04,pymatching,afc6c4705066a983d32c4b8f06c5950c7ec304b388908d70b2d3ba12d091b26a,"{""d"":5,""p"":0.001,""r"":10}",
   1000000,29407,0,8.83,pymatching,785d194c38edc828aba4139505384d95dfcdbbc208f6b73671ab5ef8cd4ef5f1,"{""d"":5,""p"":0.005,""r"":10}",
   1000000,161240,0,20.1,pymatching,f7a9cbfb68c1090707166bd54f5092c729827b1efd343f4e425b196e945b982a,"{""d"":5,""p"":0.01,""r"":10}",
   1000000,429055,0,43.3,pymatching,fb7e670f10a71aa7f906da100d1f5bc0ef4d2cad07cf06b8e07229826d222866,"{""d"":5,""p"":0.02,""r"":10}",
   1000000,493592,0,63.4,pymatching,0f2853495097c8bb58a70870b7f8c9f3c50bbca240af54c9fa6b47678c181086,"{""d"":5,""p"":0.03,""r"":10}",
   1000000,499626,0,80.4,pymatching,c7b991029b7f9afbf960454dac25b04ac8dcce9c6de17f9d92df97b7801a4fd6,"{""d"":5,""p"":0.04,""r"":10}",
   1000000,500497,0,90.9,pymatching,56fac35c1a4922959b77fc1d7b496cdb48f059a3570670f7398156e328e80105,"{""d"":5,""p"":0.05,""r"":10}",
   1000000,2,0,4.69,pymatching,b9f124317db71f10b5ec8b0dacf90b778021e5582dcc634d4fec1305f0348150,"{""d"":7,""p"":0.0005,""r"":14}",
